"titleID","titleName","titleSort","titleURL","authorFirstName","authorLastName","publicationDate","imageName","categoryID","shortDescription","urlPKDweb","active","createdAt","updatedAt"
11,"Dr. Futurity","dr. futurity","Dr-Futurity","Philip K.","Dick","1960-01-01 00:00:00+00","https://philipdick.com/images/covers/DrFuturity.jpg",1,"In a future where death is embraced, a time-traveling doctor is the only one who can save a wounded resistance leader.

When Dr. Jim Parsons wakes up from a car accident, he finds himself in a future populated almost entirely by the young. But to keep the world run by the young, death is fetishized, and those who survive to old age are put down. In such a world, Parsons—with his innate desire to save lives—is a criminal and outcast. But for one revolutionary group, he may be just the savior they need to heal and revive their cryogenically frozen leader. And when he and the group journey to 1500s California, what they find causes them to question what they know about history and the underpinnings of their society. With the jarring immediacy of a car crash, Philip K. Dick throws both the reader and protagonist of Dr. Futurity into a bizarre future where healing is a crime and youth rules.","https://1999pkdweb.philipdick.com/DR.FUTURITY.htm",True,"2020-10-19 03:10:31.269921+00","2020-10-27 21:05:10.281+00"
12,"Eye in the Sky","eye in the sky","Eye-In-The-Sky","Philip K.","Dick","1957-01-01 00:00:00+00","https://philipdick.com/images/covers/EyeInTheSky.jpg",1,"“I have never seen [its] theme handled with greater technical dexterity or given more psychological meaning.”—Fantasy and Science Fiction

When a routine tour of a particle accelerator goes awry, Jack Hamilton and the rest of his tour group find themselves in a world ruled by Old Testament morality, where the smallest infraction can bring about a plague of locusts. Escape from that world is not the end, though, as they plunge into a Communist dystopia and a world where everything is an enemy.

Philip K. Dick was aggressively individualistic and no worldview is safe from his acerbic and hilarious take downs. Eye in the Sky blends the thrills and the jokes to craft a startling morality lesson hidden inside a comedy.","https://1999pkdweb.philipdick.com/EYE%20IN%20THE%20SKY.htm",True,"2020-10-19 03:10:31.269921+00","2020-10-27 21:06:04.656+00"
13,"Flow My Tears, the Policeman Said","flow my tears, the policeman said","Flow-My-Tears-The-Policeman-Said","Philip K.","Dick","1974-01-01 00:00:00+00","https://philipdick.com/images/covers/FlowMyTearsThePolicemanSaid.jpg",1,"""Dick skillfully explores the psychological ramifications of this nightmare.""—The New York Times Review of Books

Flow My Tears, the Policeman Said grapples with many of the themes Philip K. Dick is best known for— identity, altered reality, drug use, and dystopia—in a rollicking chase story that earned the novel the John W. Campbell Award and nominations for the Hugo and Nebula.

Jason Taverner—world-famous talk show host and man-about-town—wakes up one day to find that no one knows who he is—including the vast databases of the totalitarian government. And in a society where lack of identification is a crime, Taverner has no choice but to go on the run with a host of shady characters, including crooked cops and dealers of alien drugs. But do they know more than they are letting on? And just how can a person’s identity be erased overnight?","https://1999pkdweb.philipdick.com/FLOW%20MY%20TEARS.htm",True,"2020-10-19 03:10:31.269921+00","2020-10-27 21:07:43.669+00"
14,"Galactic Pot-Healer","galactic pot-healer","Galactic-Pot-Healer","Philip K.","Dick","1969-01-01 00:00:00+00","https://philipdick.com/images/covers/GalacticPotHealer.jpg",1,"A powerful and enigmatic alien recruits humans and aliens to help it restore a sunken cathedral in this touching and hilarious novel.

Sometimes even gods need help. In Galactic Pot-Healer that god is an alien creature known as The Glimmung, which looks alternately like a flaming wheel, a teenage girl, and a swirling mass of ocean life. In order to raise a sunken city, he summons beings from across the galaxy to Plowman’s Planet. Joe Fernwright is one of those summoned, needed for his skills at pot-healing—repairing broken ceramics. But from the moment Joe arrives on Plowman’s Planet, things start to go awry. Told as only Philip K. Dick can, Galactic Pot-Healer is a wildly funny tale of aliens, gods, and ceramics.","https://1999pkdweb.philipdick.com/GALACTIC%20POTHEALER.htm",True,"2020-10-19 03:10:31.269921+00","2020-10-27 21:08:33.002+00"
15,"The Game-Players of Titan","game-players of titan, the","The-Game-Players-Of-Titan","Philip K.","Dick","1963-01-01 00:00:00+00","https://philipdick.com/images/covers/TheGamePlayersOfTitan.jpg",1,"Years ago, Earth and Titan fought a war and Earth lost. The planet was irradiated and most of the surviving population is sterile. The few survivors play an intricate and unending game called Bluff at the behest of the slug-like aliens who rule the planet. At stake in the game are two very important commodities: land and spouses. Pete Garden just lost his wife and Berkeley, California, but he has a plan to win them back. That is, if he isn’t derailed by aliens, psychic traitors, or his new wife.

The Game-Players of Titan is both satire and adventure, examining the ties that bind people together and the maddening peccadilloes of bureaucracy, whether the bureaucrats are humans or alien slugs.","https://1999pkdweb.philipdick.com/THE%20GAME%20PLAYERS%20OF%20TITAN.htm",True,"2020-10-19 03:10:31.269921+00","2020-10-27 21:09:28.747+00"
16,"Gather Yourselves Together","gather yourselves together","Gather-Yourselves-Together","Philip K.","Dick","1994-01-01 00:00:00+00","https://philipdick.com/images/covers/GatherYourselvesTogether.jpg",1,"Gather Yourselves Together is one of Philip K. Dick’s earliest novels, written when he was just twenty-four years old. It tells the story of three Americans left behind in China by their employer, biding their time as the Communists advance. As they while away the days, both the young and naïve Carl Fitter and the older and worldly Verne Tildon vie for the affections of Barbara Mahler, a woman who may not be so tough-as-nails as she acts. But Carl’s innocence and Verne’s boorishness could end up driving Barbara away from both.","https://1999pkdweb.philipdick.com/GATHER%20YOURSELVES%20TOGETHER.htm",True,"2020-10-19 03:10:31.269921+00","2020-10-27 21:10:25.001+00"
17,"Humpty Dumpty in Oakland","humpty dumpty in oakland","Humpty-Dumpty-In-Oakland","Philip K.","Dick","1986-01-01 00:00:00+00","https://philipdick.com/images/covers/HumptyDumptyInOakland.jpg",1,"Set in San Francisco in the late 1950s, Humpty Dumpty in Oakland is a tragicomedy of misunderstandings among used car dealers and real-estate salesmen: the small-time, struggling individuals for whom Philip K.Dick always reserved his greatest sympathy.
 
Jim Fergesson is an elderly garage owner with a heart condition, who is about to retire; Al Miller is a somewhat feckless mechanic who sublets part of Jim's lot and finds his livelihood threatened by the decision to sell; Chris Harman is a record-company owner who for years has relied on Fergesson to maintain his cars. When Harman hears of Fergesson's impending retirement he tips him off to what he says is a cast-iron business proposition: a development in nearby Marin County with an opening for a garage. Al Miller is convinced that Harman is a crook, out to fleece Fergesson of his life's savings. As much as he resents Fergesson he can't bear to see it happen and--denying to himself all the time what he is doing--he sets out to thwart Harman.","https://1999pkdweb.philipdick.com/HUMPTY%20DUMPTY.htm",True,"2020-10-19 03:10:31.269921+00","2020-10-27 21:15:03.281+00"
18,"In Milton Lumky Territory","in milton lumky territory","In-Milton-Lumky-Territory","Philip K.","Dick","1985-01-01 00:00:00+00","https://philipdick.com/images/covers/InMiltonLumkyTerritory.jpg",1,"In The Novels of Philip K. Dick, Kim Stanley Robinson states that ""In Milton Lumky Territory . . . is probably the best of Dick's realist novels aside from Confessions of a Crap Artist,"" and calls it a ""bitter indictment of the effects of capitalism."" Dick, on the other hand, in his forward, says ""This is actually a very funny book, and a good one, too.""

Milton Lumky territory is both an area of the western USA and a psychic terrain: the world and world-view of the traveling salesman. The story takes place in Boise, Idaho, with some extraordinary long-distance driving sequences in which our hero (young Bruce Stevens) drives from Boise to San Francisco, to Reno, to Pocatello, to Seattle, and back to Boise in search of a good deal on some wholesale typewriters. He falls under the spell of an attractive older woman (who used to be his school teacher) and Milton Lumky, a middle-aged paper salesman whose territory is the Northwest. And then Bruce and the others slowly sink into the whirlpool of his immature personal obsessions and misperceptions.

A compassionate and ironic portrayal of three characters enmeshed in a sticky web of everyday events, in a tension between love and money, with a basic failure to communicate, In Milton Lumky Territory stands out among Dick's early works.","https://1999pkdweb.philipdick.com/MILT%20LUMKY.htm",True,"2020-10-19 03:10:31.269921+00","2020-10-27 21:15:16.39+00"
19,"Lies, Inc.","lies, inc.","Lies-Inc","Philip K.","Dick","1984-01-01 00:00:00+00","https://philipdick.com/images/covers/LiesInc.jpg",1,"“Philip K. Dick knew better than anyone how to recognize the disturbances of exile.”—Roberto Bolaño

When catastrophic overpopulation threatens Earth, one company offers to teleport citizens to Whale’s Mouth, an allegedly pristine new home for happy and industrious émigrés. But there is one problem: the teleportation machine only works in one direction. When Rachmael ben Applebaum discovers that some of the footage of happy settlers may have been faked, he sets out on an eighteen-year journey to see if anyone wants to come back.

Lies, Inc. is one of Philip K. Dick’s final novels, which he expanded from his novella The Unteleported Man shortly before his death. In its examination of totalitarianism, reality, and hallucination, it encompasses everything that Dick’s fans love about his oeuvre.","",True,"2020-10-19 03:10:31.269921+00","2020-11-04 00:17:43.005+00"
20,"The Man in the High Castle","man in the high castle, the","The-Man-In-The-High-Castle","Philip K.","Dick","1962-01-01 00:00:00+00","https://philipdick.com/images/covers/TheManInTheHighCastle.jpg",1,"The basis for the Amazon Original series
 
It’s America in 1962. Slavery is legal once again. The few Jews who still survive hide under assumed names. In San Francisco, the I Ching is as common as the Yellow Pages. All because some twenty years earlier the United States lost a war—and is now occupied by Nazi Germany and Japan.
 
This harrowing, Hugo Award–winning novel is the work that established Philip K. Dick as an innovator in science fiction while breaking the barrier between science fiction and the serious novel of ideas. In it Dick offers a haunting vision of history as a nightmare from which it may just be possible to wake.

“The single most resonant and carefully imagined book of Dick’s career.” —New York Times","https://1999pkdweb.philipdick.com/THE%20MAN%20IN%20THE%20HIGH%20CASTLE.htm",True,"2020-10-19 03:10:31.269921+00","2020-10-27 21:12:22.261+00"
